date	close
4-Dec-13	56989
5-Dec-13	56962
6-Dec-13	56951
7-Dec-13	56949
8-Dec-13	56949
9-Dec-13	56949
10-Dec-13	56940
11-Dec-13	56885
12-Dec-13	56877
13-Dec-13	56840
14-Dec-13	56842
15-Dec-13	56842
16-Dec-13	56842
17-Dec-13	56824
18-Dec-13	56828
19-Dec-13	56820
